Exisiting,New
activity_actual_end,activity-date_end
activity_actual_start,activity-date_start
activity_planned_end,activity-date_end
activity_planned_start,activity-date_start
budget_currency,budget_value_currency
budget_date,budget_value_value-date
budget_period_ends,budget_period-end_iso-date
budget_period_start,budget_period-start_iso-date
budget_value,budget_value
collaboration_type,collaboration-type_code
currency,iati-activity_default-currency
default_aid_type,default-aid-type
default_finance_type,default-finance-type
default_flow_type,default-flow-type
default_tied_status,default-tied-status
hash,
iati_identifier,iati-identifier
participating_org_codes,implementing-org_ref
participating_org_names,implementing-org_name
policy_marker_codes,policy-marker_code
policy_marker_sig,policy-marker_significance
recipient_codes,recipient_code
recipient_names,recipient_name
recipient_percentages,recipient_percentage
reporting_org_codes,reporting-org_ref
reporting_org_names,reporting-org_name
sector_codes,sector_code
sector_percentages,sector_percentage
title,title
total_value,
url,oipa-activity-url
